n = 2^10; Tiempo NearestX ; IOs NearestX ; Tiempo Hilbert; IOs Hilbert; Tiempo STR; IOS STR;
Rect(265117, 56896, 275096, 71307); 17000; 1; 54300; 1; 15700; 1
Rect(488978, 263624, 500000, 279518); 11800; 1; 13000; 1; 10500; 1
Rect(384678, 233909, 423017, 276944); 11200; 1; 10800; 1; 10400; 1
Rect(43761, 440783, 142630, 500000); 11400; 1; 10600; 1; 17400; 1
Rect(60954, 469047, 94123, 479278); 11600; 1; 10700; 1; 12800; 1
Rect(382720, 392127, 389634, 422755); 11300; 1; 11000; 1; 10500; 1
Rect(454157, 26651, 500000, 108605); 13300; 1; 1159700; 3; 18900; 1
Rect(269880, 49007, 314942, 111821); 17900; 1; 14100; 1; 20400; 1
Rect(174067, 293477, 204609, 366118); 26700; 1; 10600; 1; 11000; 1
Rect(86891, 264525, 129026, 313290); 15100; 1; 10300; 1; 10700; 1
Rect(70958, 95151, 83985, 145877); 12600; 1; 10200; 1; 10700; 1
Rect(4246, 174503, 97503, 186713); 21000; 1; 10600; 1; 11000; 1
Rect(293483, 482421, 313765, 500000); 14500; 1; 10200; 1; 11900; 1
Rect(213796, 312606, 275795, 327888); 11800; 1; 11900; 1; 10600; 1
Rect(432468, 123517, 490394, 135796); 11000; 1; 10700; 1; 10700; 1
Rect(257359, 90118, 258014, 158197); 11300; 1; 14400; 1; 11400; 1
Rect(403441, 238773, 478567, 249451); 11200; 1; 19200; 1; 14300; 1
Rect(162609, 469409, 219755, 500000); 10900; 1; 11500; 1; 27400; 1
Rect(219907, 281745, 281986, 380127); 11100; 1; 10100; 1; 12600; 1
Rect(177056, 108857, 196466, 124365); 11600; 1; 10400; 1; 12800; 1
Rect(373338, 375623, 460148, 443115); 11700; 1; 10200; 1; 12100; 1
Rect(391617, 402060, 425702, 424334); 11100; 1; 10300; 1; 21200; 1
Rect(65759, 34274, 152289, 82830); 13900; 1; 10600; 1; 15200; 1
Rect(483254, 381934, 500000, 435236); 11700; 1; 10200; 1; 10300; 1
Rect(29583, 444577, 54806, 462771); 12200; 1; 10100; 1; 10300; 1
Rect(433669, 284194, 500000, 347407); 12000; 1; 17000; 1; 13600; 1
Rect(362864, 29388, 461024, 78355); 11800; 1; 10600; 1; 10000; 1
Rect(405235, 71421, 480892, 73054); 24300; 1; 10100; 1; 10000; 1
Rect(476670, 170983, 480443, 216063); 13200; 1; 10700; 1; 10300; 1
Rect(44462, 63680, 84480, 107691); 11800; 1; 10400; 1; 10100; 1
Rect(410914, 369189, 500000, 418430); 14200; 1; 10400; 1; 10000; 1
Rect(454978, 300742, 500000, 343509); 11600; 1; 11000; 1; 10300; 1
Rect(123248, 454996, 173450, 473594); 25100; 1; 10200; 1; 10100; 1
